Index,Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
31,28-Dec-05,Warriors,Celtics,L,W,109,111,Warriors won 1
32,19-Dec-05,Celtics,Warriors,W,L,109,98,Celtics won 2
33,5-Jan-05,Celtics,Warriors,W,L,84,83,Celtics won 1
34,6-Dec-04,Warriors,Celtics,L,W,106,110,Warriors won 1
35,2-Apr-04,Celtics,Warriors,W,L,111,106,Celtics won 2
36,29-Dec-03,Warriors,Celtics,W,L,100,91,Celtics won 1
37,26-Mar-03,Celtics,Warriors,L,W,95,107,Warriors won 1
38,18-Feb-03,Warriors,Celtics,W,L,125,117,Celtics won 2
39,27-Mar-02,Celtics,Warriors,W,L,102,99,Celtics won 1
40,13-Feb-02,Warriors,Celtics,L,W,75,92,Warriors won 3
41,21-Jan-01,Warriors,Celtics,L,W,91,94,Warriors won 2
42,5-Jan-01,Celtics,Warriors,L,W,88,100,Warriors won 1
43,15-Mar-00,Celtics,Warriors,W,L,121,104,Celtics won 1
44,18-Feb-00,Warriors,Celtics,L,W,100,122,Warriors won 1
45,27-Feb-98,Celtics,Warriors,W,L,120,88,Celtics won 1
46,15-Feb-98,Warriors,Celtics,L,W,87,101,Warriors won 2
47,19-Feb-97,Warriors,Celtics,L,W,101,112,Warriors won 1
48,14-Jan-97,Celtics,Warriors,W,L,116,108,Celtics won 1
49,14-Feb-96,Warriors,Celtics,L,W,103,106,Warriors won 2
50,24-Nov-95,Celtics,Warriors,L,W,94,101,Warriors won 1
51,15-Feb-95,Warriors,Celtics,W,L,116,115,Celtics won 2
52,27-Jan-95,Celtics,Warriors,W,L,117,91,Celtics won 1
53,19-Feb-94,Warriors,Celtics,L,W,90,101,Warriors won 1
54,21-Jan-94,Celtics,Warriors,W,L,124,116,Celtics won 4
55,16-Mar-93,Warriors,Celtics,W,L,114,88,Celtics won 3
56,7-Feb-93,Celtics,Warriors,W,L,87,82,Celtics won 2
57,22-Mar-92,Celtics,Warriors,W,L,114,97,Celtics won 1
58,19-Feb-92,Warriors,Celtics,L,W,112,117,Warriors won 1
59,14-Feb-91,Warriors,Celtics,W,L,128,112,Celtics won 1
60,16-Jan-91,Celtics,Warriors,L,W,105,110,Warriors won 1
61,23-Feb-90,Warriors,Celtics,W,L,123,111,Celtics won 1
62,21-Jan-90,Celtics,Warriors,L,W,115,120,Warriors won 2
63,6-Apr-89,Warriors,Celtics,L,W,118,132,Warriors won 1
64,16-Nov-88,Celtics,Warriors,W,L,107,104,Celtics won 11
65,18-Jan-88,Celtics,Warriors,W,L,121,101,Celtics won 10
66,2-Jan-88,Warriors,Celtics,W,L,115,110,Celtics won 9
67,12-Feb-87,Warriors,Celtics,W,L,134,112,Celtics won 8
68,21-Nov-86,Celtics,Warriors,W,L,135,120,Celtics won 7
69,19-Feb-86,Warriors,Celtics,W,L,115,100,Celtics won 6
70,24-Jan-86,Celtics,Warriors,W,L,135,114,Celtics won 5
71,15-Feb-85,Warriors,Celtics,W,L,107,100,Celtics won 4
72,21-Nov-84,Celtics,Warriors,W,L,135,91,Celtics won 3
73,16-Feb-84,Warriors,Celtics,W,L,125,115,Celtics won 2
74,11-Jan-84,Celtics,Warriors,W,L,135,112,Celtics won 1
75,19-Feb-83,Warriors,Celtics,L,W,109,115,Warriors won 1
76,12-Jan-83,Celtics,Warriors,W,L,139,117,Celtics won 1
77,17-Feb-82,Warriors,Celtics,L,W,105,121,Warriors won 1
78,25-Nov-81,Celtics,Warriors,W,L,122,101,Celtics won 1
79,2-Jan-81,Warriors,Celtics,L,W,106,121,Warriors won 1
80,21-Nov-80,Celtics,Warriors,W,L,108,106,Celtics won 5
81,29-Feb-80,Celtics,Warriors,W,L,110,99,Celtics won 4
82,29-Dec-79,Warriors,Celtics,W,L,104,88,Celtics won 3
83,21-Feb-79,Warriors,Celtics,W,L,101,97,Celtics won 2
84,28-Jan-79,Celtics,Warriors,W,L,103,102,Celtics won 1
85,5-Jan-79,Warriors,Celtics,L,W,98,113,Warriors won 1
86,14-Feb-78,Warriors,Celtics,W,L,98,75,Celtics won 1
87,29-Jan-78,Celtics,Warriors,L,W,88,99,Warriors won 2
88,21-Dec-77,Warriors,Celtics,L,W,106,111,Warriors won 1
89,16-Dec-77,Celtics,Warriors,W,L,118,113,Celtics won 1
90,1-Mar-77,Celtics,Warriors,L,W,94,101,Warriors won 1
91,20-Feb-77,Warriors,Celtics,W,L,114,112,Celtics won 1
92,30-Jan-77,Celtics,Warriors,L,W,92,109,Warriors won 2
93,2-Jan-77,Warriors,Celtics,L,W,98,105,Warriors won 1
94,29-Feb-76,Celtics,Warriors,W,L,119,101,Celtics won 1
95,21-Feb-76,Warriors,Celtics,L,W,94,100,Warriors won 2
96,30-Dec-75,Warriors,Celtics,L,W,101,133,Warriors won 1
97,29-Oct-75,Celtics,Warriors,W,L,115,106,Celtics won 1
98,9-Mar-75,Celtics,Warriors,L,W,101,102,Warriors won 2
99,22-Feb-75,Warriors,Celtics,L,W,108,114,Warriors won 1
100,28-Dec-74,Warriors,Celtics,W,L,115,105,Celtics won 1
101,20-Nov-74,Celtics,Warriors,L,W,115,120,Warriors won 1
102,12-Feb-74,Warriors,Celtics,W,L,107,102,Celtics won 1
103,20-Jan-74,Celtics,Warriors,L,W,102,123,Warriors won 1
104,18-Dec-73,Warriors,Celtics,W,L,125,106,Celtics won 4
105,2-Nov-73,Celtics,Warriors,W,L,108,105,Celtics won 3
106,28-Feb-73,Celtics,Warriors,W,L,118,111,Celtics won 2
107,17-Feb-73,Warriors,Celtics,W,L,110,106,Celtics won 1
108,19-Dec-72,Warriors,Celtics,L,W,112,115,Warriors won 1
109,8-Nov-72,Celtics,Warriors,W,L,128,111,Celtics won 2
110,14-Mar-72,Celtics,Warriors,W,L,124,110,Celtics won 1
111,19-Feb-72,Warriors,Celtics,L,W,111,115,Warriors won 2
112,8-Jan-72,Warriors,Celtics,L,W,106,128,Warriors won 1
113,27-Dec-71,Celtics,Warriors,W,L,99,97,Celtics won 1
114,15-Oct-71,Celtics,Warriors,L,W,75,97,Warriors won 1
115,9-Mar-71,Warriors,Celtics,W,L,134,112,Celtics won 2
116,17-Feb-71,Warriors,Celtics,W,L,129,99,Celtics won 1
117,31-Dec-70,Celtics,Warriors,L,W,106,144,Warriors won 1
118,22-Dec-70,Warriors,Celtics,W,L,138,108,Celtics won 1
119,18-Nov-70,Celtics,Warriors,L,W,89,90,Warriors won 1
120,4-Mar-70,Celtics,Warriors,W,L,115,110,Celtics won 1
121,21-Feb-70,Warriors,Celtics,L,W,111,116,Warriors won 1
122,16-Feb-70,None,None,W,L,117,114,Celtics won 1
123,1-Feb-70,Celtics,Warriors,L,W,105,123,Warriors won 3
124,21-Nov-69,Warriors,Celtics,L,W,115,118,Warriors won 2
125,7-Nov-69,Celtics,Warriors,L,W,110,111,Warriors won 1
126,9-Mar-69,Celtics,Warriors,W,L,138,89,Celtics won 1
127,4-Mar-69,Warriors,Celtics,L,W,95,99,Warriors won 1
128,17-Jan-69,Celtics,Warriors,W,L,102,99,Celtics won 2
129,5-Jan-69,Warriors,Celtics,W,L,134,86,Celtics won 1
130,3-Jan-69,Warriors,Celtics,L,W,102,104,Warriors won 2
131,13-Dec-68,Celtics,Warriors,L,W,98,108,Warriors won 1
